"Артикул";"Название";"Код категории";"Категория";"Купаж, руб";"Упаковка, руб";"Итого себестоимость, руб";"Цена +40%, руб"
"2347-ПА500";"Палм Бич, 500 гр";"2.3.2";"Фруктово-ягодные напитки с ароматами";177,21;0,00;177,21;248,10
"2348-ПА500";"Травяной букет";"2.1";"Травяные моносорта";266,53;0,00;266,53;373,14
"2351-ПА500";"Липа с мятой, 500 гр";"2.2.2";"Травяные напитки с ароматом";574,39;0,00;574,39;804,14
"2401-ПА500";"Чабрец измельченный, 500 гр";"2.1";"Травяные моносорта";118,85;0,00;118,85;166,39
"2401/1-ПА500";"Чабрец Высшее качество, 500 гр";"2.1";"Травяные моносорта";502,05;0,00;502,05;702,87
"2422-ПР250";"Василёк, 250 гр";"2.1";"Травяные моносорта";1270,49;10,79;1281,28;1793,80
"2428-ПР500";"Липа листья, 500 гр";"2.1";"Травяные моносорта";960,00;0,00;960,00;1344,00
"2429-ПА500";"Ромашка цветок, 500 гр";"2.1";"Травяные моносорта";460,00;0,00;460,00;644,00
"2436/1-ПА500";"Бутоны цветов жасмина, 500 гр";"2.1";"Травяные моносорта";733,34;0,00;733,34;1026,67
"2454/1-ПА500";"Мелисса Премиум, 500 гр";"2.1";"Травяные моносорта";197,52;0,00;197,52;276,53
"2471-ПА500";"Иван-Чай, 500 гр";"2.1";"Травяные моносорта";500,00;0,00;500,00;700,00
"2472-ПР250";"Саган Дайля, 250 гр";"2.1";"Травяные моносорта";489,58;0,00;489,58;685,42
"2490-ПА500";"Душица трава резаная, 500 гр";"2.1";"Травяные моносорта";141,67;0,00;141,67;198,33
"2701-ПА500";"Сокровище Императора, 500 гр";"1.1.3";"Черный чай с ароматами";239,92;0,00;239,92;335,89
"2703-ПА500";"Снежная королева, 500 гр.";"1.1.3";"Черный чай с ароматами";284,14;4,05;288,19;403,47
"2704-ПА500";"Клубничный мохито, 500 гр.";"1.3.3";"Улуны с ароматами";233,18;4,05;237,23;332,12
"2705-ПА500";"Секрет Гейши, 500 гр.";"1.1.3";"Черный чай с ароматами";281,71;4,05;285,76;400,06
"2706-ПА500";"Соблазн, 500 гр.";"1.1.3";"Черный чай с ароматами";262,96;4,05;267,01;373,81
"2707-10";"ПЭТ ""Манговый улун""";"1.3.3";"Улуны с ароматами";69,69;27,40;97,09;135,92
"2707-ПА500";"Манговый улун, 500 гр.";"1.3.3";"Улуны с ароматами";199,10;4,05;203,15;284,41
"2708-ПА500";"Блюбери манго, 500 гр.";"1.1.3";"Черный чай с ароматами";307,61;4,05;311,66;436,32
"2709-ПА500";"Клубника в шампанском, 500 гр.";"1.1.3";"Черный чай с ароматами";267,58;4,05;271,63;380,29
"2711-ПА500";"Зеленый с грецким орехом";"1.2.3";"Зеленый чай с ароматами";235,43;0,00;235,43;329,60
"2719-ПА500";"Байкал, 500 гр";"1.1.2";"Черный чай с добавками";312,55;0,00;312,55;437,57
"2720-ПА500";"Айва с персиком (Премиум), 500 гр";"1.1.3";"Черный чай с ароматами";285,33;0,00;285,33;399,46
"2721-ПА500";"Свежесть лета, 500 гр.";"1.3.3";"Улуны с ароматами";255,92;4,05;259,97;363,95
"2723-ПА500";"Сладкая жизнь, 500 гр.";"1.3.3";"Улуны с ароматами";275,78;4,05;279,83;391,77
"2725-ПА500";"Ореховое безумие, 500 гр";"1.1.3";"Черный чай с ароматами";316,56;0,00;316,56;443,18
"2726-ПА500";"Амазонка, 500 гр.";"1.3.3";"Улуны с ароматами";234,62;4,05;238,67;334,14
"2727-10Б";"ПЭТ Лесная земляника";"1.1.3";"Черный чай с ароматами";65,52;27,43;92,95;130,13
"2727-ПА500";"Лесная земляника, 500 гр";"1.1.3";"Черный чай с ароматами";273,00;4,89;277,89;389,05
"2728-ПА500";"Малиновый соблазн, 500 гр.";"1.1.3";"Черный чай с ароматами";265,31;4,05;269,36;377,10
"2729-ПА500";"Малиновый десерт, 500 гр.";"1.3.3";"Улуны с ароматами";234,47;4,05;238,52;333,92
"2730-ПА500";"Шишкин лес, 500 гр.";"1.1.2";"Черный чай с добавками";322,14;4,05;326,19;456,67
"2731-ПА500";"Пикантная земляника, 500 гр";"1.1.3";"Черный чай с ароматами";339,65;0,00;339,65;475,51
"2732-ПА500";"Малиновый мохито, 500 гр.";"1.3.3";"Улуны с ароматами";235,69;4,05;239,74;335,64
"2733-ПА500";"Лесная земляника со сливками, 500 гр";"1.1.3";"Черный чай с ароматами";302,79;0,00;302,79;423,91
"2734-ПА500";"Клубника - Арбуз, 500 гр.";"1.1.3";"Черный чай с ароматами";311,58;4,05;315,63;441,88
"2904-ПА500";"Царский фаворит, 500 гр";"1.1.2";"Черный чай с добавками";150,26;0,00;150,26;210,36
"2907-ПА500";"Милость Падишах";"1.2";"Зеленые чаи";144,65;0,00;144,65;202,51
"2908-10Б";"ПЭТ Алтайский сбор";"1.1.3";"Черный чай с ароматами";35,27;28,43;63,70;89,19
"2908-ПА500";"Алтайский сбор, 500 гр";"1.1.3";"Черный чай с ароматами";160,34;4,05;164,39;230,14
"2910-ПА500";"Выбор Королей";"1.1.2";"Черный чай с добавками";150,21;0,00;150,21;210,29
"2914-ПА500";"Долина сказок";"1.2";"Зеленые чаи";166,03;0,00;166,03;232,44
"2916-ПА500";"Утренний поцелуй, 500 гр";"1.2.3";"Зеленый чай с ароматами";150,90;0,00;150,90;211,26
"2921-ПА500";"Фруктовый рай, 500 гр";"2.3.2";"Фруктово-ягодные напитки с ароматами";119,84;0,00;119,84;167,78
"4101/3-ПА500";"Кенийский черный чай FOP, 500 гр";"1.1";"Черные чаи";224,35;4,05;228,40;319,75
"4102-ПА500";"Цейлон OP, 500 гр.";"1.1";"Черные чаи";315,34;4,05;319,39;447,14
"4103-ПА500";"Цейлон OP1, 500 гр.";"1.1";"Черные чаи";277,09;4,05;281,14;393,59
"4106-ПА500";"Цейлон PEKOE, 500 гр";"1.1";"Черные чаи";274,59;4,05;278,64;390,09
"4111-ПА500";"Цейлон ""Ветиханда"" FBOP TIPPY, 500 гр";"1.1";"Черные чаи";744,17;4,05;748,22;1047,50
"4200-ПА500";"Ассам TGFВOP, 500 гр";"1.1";"Черные чаи";122,95;4,05;127,00;177,80
"4200/1-ПА500";"Ассам FВOP, 500 гр";"1.1";"Черные чаи";140,57;4,05;144,62;202,47
"4201-ЗИП100";"Ассам TGFOP, 100 гр";"1.1";"Черные чаи";52,76;14,00;66,76;93,47
"4201-ПА500";"Ассам TGFOP, 500 гр.";"1.1";"Черные чаи";263,81;4,05;267,86;375,00
"4202-ПА500";"Ассам Бехора TGFOP1, 500 гр";"1.1";"Черные чаи";622,54;4,05;626,59;877,23
"4203-ПА500";"Ассам Нилгири TGFOP";"1.1";"Черные чаи";245,47;0,00;245,47;343,65
"4206-ПА500";"Ассам Премиум STGFOP1, 500 гр";"1.1";"Черные чаи";303,69;4,05;307,74;430,84
"4208-ПА500";"Ассам GFOP, 500 гр.";"1.1";"Черные чаи";160,17;4,05;164,22;229,91
"4220-ПА500";"Дарджилинг Тиндария FTGOP1";"1.1";"Черные чаи";377,64;0,00;377,64;528,69
"4301-ПА500";"Кенийский чай FBOP, 500 гр";"1.1";"Черные чаи";289,67;4,05;293,72;411,20
"4301/1-ПА500";"Кенийский (типсовый), 500 гр";"1.1";"Черные чаи";308,20;4,05;312,25;437,14
"4304-ПА500";"Непал ОР";"1.1";"Черные чаи";317,00;0,00;317,00;443,80
"4305-ПА500";"Английский завтрак, 500 гр";"1.1";"Черные чаи";274,01;0,00;274,01;383,62
"7001-ПА500";"Бай Му Дань (Белый пион), 500 гр";"1.2.1";"Моносорта";585,84;4,05;589,89;825,84
"7006-ПА500";"Ганпаудер (Порох), 500 гр.";"1.2";"Зеленые чаи";96,31;4,05;100,36;140,50
"7007-ПА500";"Бай Мао Хоу, 500 гр";"1.2.1";"Моносорта";532,79;0,00;532,79;745,90
"7008-ПА500";"Би Ло Чунь / ""Изумрудные спирали"", 500 гр.";"1.2";"Зеленые чаи";477,71;4,05;481,76;674,46
